league,season,game,team,player,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Ryan Giles,3,ENG,LB,26-208,84,0,0,0,0,1,0,0,0,0,0,0,8,1,1,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Semi Ajayi,6,NGA,CB,32-286,63,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Andrey Santos,17,BRA,DM,22-111,66,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Ayden Heaven,26,ENG,CB,19-334,90,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Benjamin Šeško,30,SVN,FW,23-083,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Bruno Fernandes,8,POR,AM,31-348,90,0,0,0,0,3,1,0,0,0,0,0,6,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Bryan Mbeumo,19,CMR,AM,27-015,90,0,0,0,0,4,2,0,0,0,0,1,10,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Diogo Dalot,2,POR,"DF,MF",27-157,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Harry Maguire,5,ENG,CB,33-170,90,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Kobbie Mainoo,37,ENG,MF,21-125,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Luke Shaw,23,ENG,LB,31-041,90,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Marcus Rashford,9,ENG,"FW,MF",28-295,45,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Matheus Cunha,10,BRA,FW,27-087,79,0,0,0,0,3,1,0,0,0,1,0,3,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Noussair Mazraoui,3,MAR,RB,28-281,79,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Patrick Dorgu,13,DEN,AM,21-300,45,0,0,0,0,3,0,1,0,4,0,1,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Senne Lammens,1,BEL,GK,24-046,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,69e3855f
